rank,commodityCode,goodsDescription,countryOfOriginCode,countryOfOriginName,manufacturerName,exporterNameAndAddress,uomCode,uomDesc,packetSize,requestedAmount,requestedOtherInformation,assessedAmount,assessedOtherInformation,recommendedAmount,recommendedOtherInformation
1,3822000000,ISE SODIUM ELECTR. cobas c 111 system [4838084001] (cobas100%),,,,,TNE,Metric tons,,100,,100,,100,
2,3822000000,Lactate 100Tests cobas c111 (cobas100%),,,,,TNE,Metric tons,,250,,250,,250,
3,3822000000,LDH 100T cobas c 111 [5401674190] (cobas100%),,,,,TNE,Metric tons,,150,,150,,150,
4,3822000000,"LDL Cholesterin 100T c111 [5401682190] (5-chloro-2-
methyl-4-isothiazolin-3- one [EC no. 247-500-7] and 2-methyl-2Hisothiazol-3-one)",,,,,TNE,Metric tons,,200,,200,,200,
5,3822000000,Lipase color 100T c111 [5401704190] (cobas100%),,,,,TNE,Metric tons,,150,,150,,150,
6,3822000000,MG 100T Cobas c111 (cobas100%),,,,,TNE,Metric tons,,100,,100,,100,
7,3822000000,NaCL 9% cobas c 111 [4774230190] (cobas100%),,,,,TNE,Metric tons,,100,,100,,100,
8,3822000000,"Pankreas a - Amylase  100 c111 [5401771190] (5-chloro-2-
methyl-4-isothiazolin-3- one [EC no. 247-500-7] and 2-methyl-2Hisothiazol-3-one)",,,,,TNE,Metric tons,,200,,200,,200,
9,3822000000,Total Protein 400T cobas c111 [4657586190] (sodium hydroxide),,,,,TNE,Metric tons,,190,,190,,190,
10,3822000000,"UA plus 400T cobas c111 [4657608190] (Dodecyl alcohol, ethoxylated)",,,,,TNE,Metric tons,,180,,180,,180,
11,3822000000,"UREA 400T cobas c 111 [4657616190] (Dodecyl alcohol, ethoxylated)",,,,,TNE,Metric ton,,160,,160,,160,
12,3822000000,"AFP G2 CS Elecsys V2.1 [4487761190] (Dodecyl alcohol, ethoxylated)",,,,,TNE,Metric ton,,100,,100,,100,
13,3822000000,AMH CS Elecsys (2-methyl-2H-isothiazol-3-one hydrochloride),,,,,TNE,Metric ton,,250,,250,,250,
14,3822000000,AMH Elecsys (2-methyl-2H-isothiazol-3-one hydrochloride),,,,,TNE,Metric ton,,150,,150,,150,
15,3822000000,AMH PC Elecsys (2-methyl-2H-isothiazol-3-one hydrochloride),,,,,TNE,Metric ton,,200,,200,,200,
16,3822000000,"Anti-HBc Elecsys cobas e 100 [11820559122] (1,4-dimercaptobutane-
2,3-diol)",,,,,TNE,Metric ton,,150,,150,,150,
17,3822000000,"Anti-HBc IgM Elecsys cobas e 100 [11820567122] (1,4-dimercaptobutane-2,3-diol)",,,,,TNE,Metric ton,,100,,100,,100,
18,3822000000,"Anti-HBc IgM PC Elecsys [11876333122] (1,4-dimercaptobutane-
2,3-diol)",,,,,TNE,Metric ton,,100,,100,,100,
19,3822000000,"Anti-HBc PC Elecsys [11876325122] (1,4-dimercaptobutane-
2,3-diol)",,,,,TNE,Metric ton,,200,,200,,200,
20,3822000000,"Anti-HBe Elecsys cobas e 100 [11820613122] (1,4-dimercaptobutane-
2,3-diol)",,,,,TNE,Metric ton,,220,,220,,220,
21,3822000000,"Anti-HBe PC Elecsys [11876384122] (1,4-dimercaptobutane-2,3-diol)",,,,,TNE,Metric ton,,190,,190,,190,
22,3822000000,"Anti-HBs Elecsys cobas e 100 [11820524122] (1,4-dimercaptobutane-
2,3-diol)",,,,,TNE,Metric ton,,180,,180,,180,
23,3822000000,"Anti-HBs PC Elecsys [11876317122] (1,4-dimercaptobutane-
2,3-diol)",,,,,TNE,Metric ton,,160,,160,,160,
24,3822000000,"Anti-HCV G2 Elecsys cobas e 200 [6427405190] (1,4-dimercaptobutane-
2,3-diol)",,,,,TNE,Metric ton,,200,,200,,200,
25,3822000000,"Anti-HCV PC Elecsys [3290379190] (1,4-dimercaptobutane-
2,3-diol)",,,,,TNE,Metric ton,,100,,100,,100,
26,3822000000,CA 15-3 G2 CS Elecsys [3045846122] ((cobas100%),,,,,TNE,Metric ton,,250,,250,,250,
27,3822000000,CA 15-3 G2 Elecsys cobas e 100 [3045838122] ((cobas100%),,,,,TNE,Metric ton,,150,,150,,150,
28,3822000000,CEA CS Elecsys V2 [11731645322] ((cobas100%),,,,,TNE,Metric ton,,200,,200,,200,
